topic,ROS type,source PC,source node,destination PC,destination node,QoS,expected rate,measured rate,bridge direction,required/optional,official owner,duplicate publisher count,notes
/awapi/tmp/virtual_traffic_light_states,tier4_v2x_msgs/msg/VirtualTrafficLightStateArray,PC4,TBD_RUNTIME,PC1,behavior_velocity_planner,reliable volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,virtual to vehicle,optional,PC4,TBD_RUNTIME,inconsistent with motion planner name; module status must be confirmed
/perception/virtual_traffic_light_states,tier4_v2x_msgs/msg/VirtualTrafficLightStateArray,PC4,TBD_RUNTIME,PC1,motion_velocity_planner,reliable volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,virtual to vehicle,optional,PC4,TBD_RUNTIME,reconcile official name before enabling
/planning/mission_planning/route,autoware_planning_msgs/msg/LaneletRoute,PC1,/planning/mission_planning/mission_planner,PC1,planning nodes,reliable transient_local depth=1,event or latched,TBD_RUNTIME,none,required after route set,PC1,TBD_RUNTIME,internal canonical planning route
/planning/mission_planning/route_selector/main/route,autoware_planning_msgs/msg/LaneletRoute,PC1,/planning/mission_planning/route_selector,PC4,TBD_PC4_RX,reliable transient_local depth=1,event or latched,TBD_RUNTIME,TBD_PC4_BRIDGE,optional bridge candidate,PC1,TBD_RUNTIME,bridge not confirmed
/planning/mission_planning/route_selector/main/state,tier4_planning_msgs/msg/RouteState,PC1,/planning/mission_planning/route_selector,PC4,TBD_PC4_RX,reliable transient_local depth=1,event or latched,TBD_RUNTIME,TBD_PC4_BRIDGE,optional bridge candidate,PC1,TBD_RUNTIME,source-derived only
/planning/scenario_planning/trajectory,autoware_planning_msgs/msg/Trajectory,PC1,/planning/planning_validator,PC1 and optional PC4,trajectory follower or logger,reliable volatile depth=1,TBD_RUNTIME,0 samples in 8 seconds,TBD_PC4_BRIDGE,required,PC1,1,actual run_autoware endpoint; PC3 odometry and TF blocked data
/system/operation_mode/state,autoware_adapi_v1_msgs/msg/OperationModeState,PC1,/control/autoware_operation_mode_transition_manager,PC1,planning control and API,reliable transient_local depth=1,event at state change,TBD_RUNTIME,none,required when full stack enabled,PC1 control,TBD_RUNTIME,control enabled in actual run_autoware; routing state remained UNKNOWN
/control/trajectory_follower/control_cmd,autoware_control_msgs/msg/Control,PC1,/control/trajectory_follower/controller_node_exe,PC1,/control/vehicle_cmd_gate,reliable transient_local depth=1,33.3 Hz configured,0 samples in 8 seconds,none,internal only,PC1,1,no trajectory input; not connected to CAN adapter
/control/command/control_cmd,autoware_control_msgs/msg/Control,PC1,/control/vehicle_cmd_gate,none in stationary mode,FORBIDDEN_PHYSICAL_SUBSCRIBER,reliable transient_local depth=1,10 Hz configured,0 samples in 8 seconds,must not bridge to actuator,allowed endpoint with forbidden actuator destination,PC1,1,SocketCAN sender and custom adapter absent; physical CAN TX0
/api/routing/route,autoware_adapi_v1_msgs/msg/Route,PC1,/adapi/node/routing,PC4,TBD_PC4_RX,reliable transient_local depth=1,event or latched,TBD_RUNTIME,TBD_PC4_BRIDGE,optional bridge candidate,PC1,TBD_RUNTIME,runtime bridge direction unverified
/api/routing/state,autoware_adapi_v1_msgs/msg/RouteState,PC1,/adapi/node/routing,PC4,TBD_PC4_RX,reliable transient_local depth=1,event or latched,TBD_RUNTIME,TBD_PC4_BRIDGE,optional bridge candidate,PC1,TBD_RUNTIME,runtime bridge direction unverified
/api/vehicle/kinematics,autoware_adapi_v1_msgs/msg/VehicleKinematics,PC1,/adapi/node/vehicle,PC4,TBD_PC4_RX,best_effort volatile depth=1,TBD_RUNTIME,TBD_RUNTIME,TBD_PC4_BRIDGE,optional bridge candidate,PC1,TBD_RUNTIME,depends on PC3 read-only status inputs
/vehicle/status/gear_status,autoware_vehicle_msgs/msg/GearReport,PC1,/pc1_socket_can_receiver_can0,PC1 and PC3,vehicle status consumers,TBD_RUNTIME,vehicle bus dependent,approximately 100 Hz report 22,physical CAN RX to vehicle DDS,read-only,PC1 physical CAN receive-only,1,CAN sender absent and TX0
/vehicle/status/steering_status,autoware_vehicle_msgs/msg/SteeringReport,PC1,/pc1_socket_can_receiver_can0,PC1 and PC3,vehicle status diagnostics,TBD_RUNTIME,vehicle bus dependent,approximately 50 Hz value 0,physical CAN RX to vehicle DDS,read-only,PC1 physical CAN receive-only,1,PC3 consumer received stream
/vehicle/status/velocity_status,autoware_vehicle_msgs/msg/VelocityReport,PC1,/pc1_socket_can_receiver_can0,PC1 and PC3,vehicle status diagnostics and converter,TBD_RUNTIME,vehicle bus dependent,approximately 50 Hz longitudinal 0,physical CAN RX to vehicle DDS,read-only,PC1 physical CAN receive-only,1,PC3 consumer received stream
/vehicle/status/control_mode,autoware_vehicle_msgs/msg/ControlModeReport,PC1,/pc1_socket_can_receiver_can0,PC1 and PC3,vehicle status consumers,TBD_RUNTIME,vehicle bus dependent,approximately 50 Hz mode 4,physical CAN RX to vehicle DDS,read-only,PC1 physical CAN receive-only,1,CAN sender absent and TX0
